Symbol,Company Name,Market Cap,Stock Price,Price Target,PT Diff. (%),Industry,PE Ratio,EPS,PEG Ratio,PB Ratio,Shares Out,Equity,Sector,EPS Growth,PS Ratio,Beta (1Y),ROE,Valuation,PT Diff in %,Score,Valuation1,Score1,PT Diff in % Absolute,BG_Value,Score2,Score3,PE_Market_avg,Score4,PE_Industry_group_avg
POR,Portland General Electric Company,4702558476,48.67,50.0,2.73%,Utilities - Regulated Electric,17.83,2.73,4.04,1.51,96621296.0,3112000000.0,Utilities,17.17%,1.7,0.6,8.70%,Underpriced,2.73,1,Slightly,0,2.73,44.47909553981195,0,0,62.24668954248366,0,21.315454545454543
PORT,Southport Acquisition,301012490,10.47,N/A,,Shell Companies,20.53,0.51,,,28749999.0,-1456577.0,Financials,,,,-252.10%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
POST,Post Holdings,5567060334,87.34,100.0,14.50%,Packaged Foods,13.58,6.43,1.19,1.6,63740100.0,3473000000.0,Consumer Staples,-15.28%,0.89,0.65,11.80%,Underpriced,14.5,1,Slightly,0,14.5,88.78564763215333,1,0,62.24668954248366,0,24.583589743589744
POWI,Power Integrations,5194880754,90.58,82.83,-8.56%,Semiconductors,39.55,2.29,1.7,6.81,57351300.0,762302000.0,Technology,-18.21%,9.03,1.17,17.70%,Overpriced,-8.56,0,Slightly,0,8.56,26.16982970156374,0,0,62.24668954248366,0,328.74357142857144
POWL,Powell Industries,672383083,56.69,N/A,,Electrical Equipment & Parts,24.76,2.29,-5.48,2.2,11860700.0,305795000.0,Industrials,,1.13,0.93,9.20%,N/A,,0,,0,,36.447607845358554,0,0,62.24668954248366,0,20.11842105263158
POWW,"AMMO, Inc.",269862760,2.29,3.25,41.92%,Aerospace & Defense,,-0.07,,0.72,117844000.0,372596085.0,Industrials,,1.41,0.52,-2.00%,Underpriced,41.92,1,Significantly,1,41.92,,0,0,62.24668954248366,0,30.43444444444444
PPBI,Pacific Premier Bancorp,2075986000,21.67,29.33,35.35%,Banks - Regional,7.4,2.93,2.98,0.73,95800000.0,2831161000.0,Financials,-17.70%,2.66,1.18,10.10%,Underpriced,35.35,1,Significantly,1,35.35,44.139214303163875,1,0,62.24668954248366,0,11.796324786324787
PPBT,Purple Biotech,33713025,1.61,9.0,460.75%,Biotechnology,,-1.01,,0.72,21005000.0,46884000.0,Healthcare,,,1.33,38.30%,Underpriced,459.01,1,Significantly,1,459.01,,0,0,62.24668954248366,0,22.024186046511627
PPC,Pilgrim's Pride,5127636607,21.66,26.4,21.88%,Packaged Foods,10.99,1.97,0.85,1.77,236732992.0,2893614000.0,Consumer Staples,126.44%,0.29,0.98,16.60%,Underpriced,21.88,1,Significantly,1,21.88,23.27637133975746,1,0,62.24668954248366,0,24.583589743589744
PPG,PPG Industries,33675022640,143.08,152.81,6.80%,Specialty Chemicals,26.74,5.35,1.87,4.72,235358000.0,7142000000.0,Materials,18.63%,1.9,1.18,19.60%,Underpriced,6.8,1,Slightly,0,6.8,60.438487939070626,0,0,62.24668954248366,0,18.675869565217393
PPHP,PHP Ventures Acquisition,80370482,10.72,N/A,,Shell Companies,,-0.25,,,7511260.0,-5178212.0,Financials,,,,,N/A,,0,,0,,1.9692224541528207,0,0,62.24668954248366,0,132.68085501858738
PPIH,Perma-Pipe International Holdings,78518750,9.81,N/A,,Building Products & Equipment,14.01,0.7,,1.39,8003950.0,56453000.0,Industrials,-2.78%,0.56,0.25,10.20%,N/A,,0,,0,,10.53978152270922,1,0,62.24668954248366,0,25.749655172413792
PPL,PPL Corporation,19893466184,26.99,29.94,10.93%,Utilities - Regulated Electric,25.95,1.04,5.47,1.42,737068032.0,14033000000.0,Utilities,23.81%,2.33,0.8,5.50%,Underpriced,10.93,1,Slightly,0,10.93,21.107140623602362,0,0,62.24668954248366,0,21.315454545454543
PPSI,Pioneer Power Solutions,80777556,8.27,12.0,45.10%,Electrical Equipment & Parts,,-0.28,,4.7,9767540.0,17184000.0,Industrials,,2.83,0.22,-16.50%,Underpriced,45.1,1,Significantly,1,45.1,,0,0,62.24668954248366,0,20.11842105263158
PPTA,Perpetua Resources,255188216,4.04,9.33,130.94%,Other Precious Metals & Mining,,-0.43,,3.11,63165400.0,82111928.0,Materials,,,0.93,-29.70%,Underpriced,130.94,1,Significantly,1,130.94,,0,0,62.24668954248366,0,22.7825
PPYA,Papaya Growth Opportunity I,197339420,10.52,N/A,,Shell Companies,131.5,0.08,,,18758500.0,-15960132.0,Financials,,,,-25.10%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
PR,Permian Resources,5878718822,10.5,13.7,30.48%,Oil & Gas E&P,5.65,1.86,0.11,1.83,559877983.0,3215262000.0,Energy,200.00%,2.45,4.55,20.10%,Underpriced,30.48,1,Significantly,1,30.48,15.502767019811527,1,0,62.24668954248366,0,10.079873417721519
PRA,ProAssurance,797448852,14.76,20.5,38.89%,Insurance - Property & Casualty,,-0.05,1.02,0.7,54027700.0,1138290000.0,Financials,,0.73,0.41,-0.30%,Underpriced,38.89,1,Significantly,1,38.89,,0,0,62.24668954248366,0,101.15631578947368
PRAA,PRA Group,908739360,23.2,41.67,79.61%,Credit Services,50.43,0.46,6.44,0.78,39169800.0,1158343000.0,Financials,-87.73%,1.03,1.17,1.60%,Underpriced,79.61,1,Significantly,1,79.61,17.494965368467486,0,0,62.24668954248366,0,24.72840909090909
PRAX,Praxis Precision Medicines,66448391,1.07,N/A,,Biotechnology,,-3.84,,1.03,62101300.0,64468000.0,Healthcare,,97.29,3.04,-190.10%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
PRCH,Porch Group,138899288,1.42,6.35,347.18%,Software - Application,,-1.95,,3.07,97816400.0,45276000.0,Technology,,0.46,0.87,-172.80%,Underpriced,347.18,1,Significantly,1,347.18,,0,0,62.24668954248366,0,164.93469696969697
PRCT,PROCEPT BioRobotics,1560954780,34.65,45.4,31.03%,Medical Devices,,-2.2,,9.02,45049200.0,173126000.0,Healthcare,,18.32,,-47.40%,Underpriced,31.02,1,Significantly,1,31.02,,0,0,62.24668954248366,0,1044.0974193548386
PRDO,Perdoceo Education,846848900,12.55,19.0,51.39%,Education & Training Services,8.84,1.42,0.65,1.11,67478000.0,761172000.0,Consumer Staples,-10.13%,1.2,1.19,13.60%,Underpriced,51.39,1,Significantly,1,51.39,18.984350015503022,1,0,62.24668954248366,0,47.4225
PRDS,Pardes Biosciences,116644563,1.89,3.5,85.19%,Biotechnology,,-1.59,,0.71,61716700.0,164730000.0,Healthcare,,,0.42,-48.30%,Underpriced,85.19,1,Significantly,1,85.19,,0,0,62.24668954248366,0,22.024186046511627
PRE,Prenetics Global,140817930,0.88,7.0,692.93%,Diagnostics & Research,,-1.73,,0.62,159548980.0,228248076.0,Healthcare,,0.7,,-75.30%,Underpriced,695.45,1,Significantly,1,695.45,,0,0,62.24668954248366,0,60.269999999999996
PRFT,Perficient,2740721194,78.67,91.43,16.22%,Information Technology Services,27.22,2.89,1.8,6.25,34838200.0,438179000.0,Technology,57.92%,3.0,1.55,26.00%,Underpriced,16.22,1,Slightly,0,16.22,28.598160971549234,0,0,62.24668954248366,0,32.660810810810815
PRFX,PainReform,5199734,0.49,N/A,,Drug Manufacturers - Specialty & Generic,,-0.88,,0.58,10721100.0,8893000.0,Healthcare,,,-0.2,-77.50%,N/A,,0,,0,,,0,0,62.24668954248366,0,42.62173913043478
PRG,PROG Holdings,1547226400,33.1,35.0,5.74%,Rental & Leasing Services,13.73,2.41,,2.65,46744000.0,584792000.0,Industrials,-19.13%,0.61,2.1,21.00%,Underpriced,5.74,1,Slightly,0,5.74,26.045791226795423,0,0,62.24668954248366,0,18.271428571428572
PRGO,Perrigo Company,4655214400,34.4,48.0,39.53%,Drug Manufacturers - Specialty & Generic,,-1.04,2.45,0.96,135326000.0,4833900000.0,Healthcare,,1.02,0.81,-3.00%,Underpriced,39.53,1,Significantly,1,39.53,,0,0,62.24668954248366,0,42.62173913043478
PRGS,Progress Software,2533465350,58.5,60.71,3.78%,Software - Application,26.23,2.23,5.89,6.13,43307100.0,413443000.0,Technology,24.58%,4.08,0.94,25.30%,Underpriced,3.78,1,Slightly,0,3.78,21.886280494490084,0,0,62.24668954248366,0,164.93469696969697
PRI,Primerica,7028245062,194.01,209.0,7.73%,Insurance - Life,17.57,11.04,1.05,3.66,36226200.0,1921101000.0,Financials,12.31%,2.58,1.18,22.80%,Underpriced,7.73,1,Slightly,0,7.73,114.77293946326839,0,0,62.24668954248366,0,70.66466666666666
PRIM,Primoris Services,1572369526,29.51,27.5,-6.81%,Engineering & Construction,11.71,2.52,,1.42,53282600.0,1109113000.0,Industrials,26.63%,0.32,1.24,12.60%,Overpriced,-6.81,0,Slightly,0,6.81,34.3547444973994,1,0,62.24668954248366,0,30.660833333333333
PRK,Park National,1732059504,107.06,103.0,-3.79%,Banks - Regional,12.24,8.75,4.82,1.6,16178400.0,1082153000.0,Financials,-4.37%,3.6,0.73,13.50%,Overpriced,-3.79,0,Slightly,0,3.79,114.75505752773229,1,0,62.24668954248366,0,11.796324786324787
PRLB,Proto Labs,907923555,34.65,37.0,6.78%,Metal Fabrication,,-3.86,1.71,1.33,26202700.0,683137000.0,Industrials,,1.85,1.18,-14.10%,Underpriced,6.78,1,Slightly,0,6.78,,0,0,62.24668954248366,0,23.05
PRLD,Prelude Therapeutics,291631446,5.56,10.5,88.85%,Biotechnology,,-2.39,,1.66,52451699.0,175297000.0,Healthcare,,,0.47,-54.90%,Underpriced,88.85,1,Significantly,1,88.85,,0,0,62.24668954248366,0,22.024186046511627
PRLH,Pearl Holdings Acquisition,262750000,10.51,N/A,,Shell Companies,,-0.04,,,25000000.0,-6860706.0,Financials,,,,-64.50%,N/A,,0,,0,,0.496976273075486,0,0,62.24668954248366,0,132.68085501858738
PRM,"Perimeter Solutions,",964188760,6.14,12.0,95.44%,Specialty Chemicals,16.59,0.37,,0.84,157034000.0,1145986000.0,Materials,,2.78,,5.50%,Underpriced,95.44,1,Significantly,1,95.44,7.794440219175325,1,0,62.24668954248366,0,18.675869565217393
PRME,Prime Medicine,1449685941,14.91,22.6,51.58%,Biotechnology,,-1.56,,5.2,97229104.0,278801000.0,Healthcare,,,,,Underpriced,51.58,1,Significantly,1,51.58,,0,0,62.24668954248366,0,22.024186046511627
PRMW,Primo Water,2102173456,13.21,17.0,28.69%,Beverages - Non-Alcoholic,50.81,0.26,-3.41,1.67,159135008.0,1256500000.0,Consumer Staples,,0.94,1.14,3.30%,Underpriced,28.69,1,Significantly,1,28.69,6.79635904813433,0,0,62.24668954248366,0,42.95916666666667
PRO,PROS Holdings,1338507801,29.07,35.4,21.78%,Software - Application,,-1.6,,,46044300.0,-47968000.0,Technology,,4.73,1.1,,Underpriced,21.78,1,Significantly,1,21.78,6.124055508943658,0,0,62.24668954248366,0,164.93469696969697
PROC,Procaps Group,480630240,4.26,N/A,,Drug Manufacturers - Specialty & Generic,13.31,0.32,,78.71,112824000.0,6106000.0,Healthcare,,1.18,0.08,-396.00%,N/A,,0,,0,,0.6242289436501796,0,0,62.24668954248366,0,42.62173913043478
PROF,Profound Medical,274502800,13.0,14.58,12.15%,Medical Devices,,-0.94,,7.77,21115600.0,35315217.0,Healthcare,,52.78,1.23,-26.50%,Underpriced,12.15,1,Slightly,0,12.15,,0,0,62.24668954248366,0,1044.0974193548386
PROK,ProKidney,2444155456,10.4,15.5,49.11%,Biotechnology,,-0.46,,,235127990.0,-1601510000.0,Healthcare,,,,,Underpriced,49.04,1,Significantly,1,49.04,8.396201190678969,0,0,62.24668954248366,0,22.024186046511627
PROV,Provident Financial Holdings,87783250,12.5,N/A,,Banks - Regional,9.77,1.28,-1.69,0.68,7022660.0,129406000.0,Financials,-3.03%,2.18,0.47,7.20%,N/A,,0,,0,,23.036825314624704,1,0,62.24668954248366,0,11.796324786324787
PRPC,CC Neuberger Principal Holdings III,210697829,10.75,N/A,,Shell Companies,34.68,0.31,,,19599798.0,-22397180.0,Financials,181.82%,,0.04,-100.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
PRPH,ProPhase Labs,125606268,7.31,14.0,91.52%,Drug Manufacturers - Specialty & Generic,17.83,0.41,,2.1,17182800.0,59941000.0,Healthcare,-59.80%,1.33,-0.35,10.00%,Underpriced,91.52,1,Significantly,1,91.52,5.672809659438867,0,0,62.24668954248366,0,42.62173913043478
PRPL,Purple Innovation,298384600,2.84,5.75,102.47%,"Furnishings, Fixtures & Appliances",,-1.16,2.0,1.4,105065000.0,212950000.0,Consumer Discretionary,,0.55,1.57,-46.40%,Underpriced,102.46,1,Significantly,1,102.46,,0,0,62.24668954248366,0,15.73470588235294
PRPO,Precipio,11135169,0.4,N/A,,Diagnostics & Research,,-0.46,,0.79,27562300.0,14160000.0,Healthcare,,1.14,2.22,-61.50%,N/A,,0,,0,,,0,0,62.24668954248366,0,60.269999999999996
PRQR,ProQR Therapeutics,142446825,1.76,5.13,191.48%,Biotechnology,,-0.89,,2.22,80935696.0,64138043.0,Healthcare,,31.47,0.02,-85.60%,Underpriced,191.48,1,Significantly,1,191.48,,0,0,62.24668954248366,0,22.024186046511627
PRSO,Peraso,13811241,0.67,1.5,124.65%,Semiconductors,,-1.4,,1.03,20684800.0,13430000.0,Technology,,0.84,2.3,-130.40%,Underpriced,123.88,1,Significantly,1,123.88,,0,0,62.24668954248366,0,328.74357142857144
PRSR,Prospector Capital,107421831,10.41,N/A,,Shell Companies,115.67,0.09,,,10319100.0,-2112692.0,Financials,,,0.03,-57.80%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
PRST,Presto Automation,203830984,3.92,5.0,27.55%,Software - Application,0.84,4.64,,,51997700.0,-22232000.0,Technology,427.27%,6.88,1.54,,Underpriced,27.55,1,Significantly,1,27.55,,0,0,62.24668954248366,0,164.93469696969697
PRT,PermRock Royalty Trust,59003645,4.85,N/A,,Oil & Gas E&P,,-0.17,,0.74,12165700.0,80246703.0,Energy,,4.62,1.23,-3.44%,N/A,,0,,0,,,0,0,62.24668954248366,0,10.079873417721519
PRTA,Prothena Corporation,3609805674,68.43,85.89,25.52%,Biotechnology,,-2.58,0.8,5.94,52751800.0,607409000.0,Healthcare,,65.73,0.36,-25.00%,Underpriced,25.52,1,Significantly,1,25.52,,0,0,62.24668954248366,0,22.024186046511627
PRTC,PureTech Health,836506016,28.48,57.0,100.14%,Biotechnology,,-1.8,,1.54,29371700.0,542220000.0,Healthcare,,53.56,0.79,-8.90%,Underpriced,100.14,1,Significantly,1,100.14,,0,0,62.24668954248366,0,22.024186046511627
PRTG,Portage Biotech,65524554,3.77,19.5,417.93%,Biotechnology,,-1.18,,0.39,17403600.0,168945000.0,Healthcare,,,110.5,-13.40%,Underpriced,417.24,1,Significantly,1,417.24,,0,0,62.24668954248366,0,22.024186046511627
PRTH,Priority Technology Holdings,257791844,3.37,N/A,,Software - Infrastructure,,-0.54,,,76496096.0,-114622000.0,Technology,,0.37,0.83,,N/A,,0,,0,,4.266802042369981,1,0,62.24668954248366,0,91.06395348837209
PRTK,Paratek Pharmaceuticals,124875196,2.18,2.15,-1.38%,Biotechnology,,-1.18,-0.02,,57282200.0,-189038000.0,Healthcare,,0.75,1.58,,Overpriced,-1.38,0,Slightly,0,1.38,9.360455328387415,1,0,62.24668954248366,0,22.024186046511627
PRTS,CarParts.com,232081248,4.12,10.5,154.85%,Internet Retail,,-0.04,0.28,1.98,56330400.0,117069000.0,Consumer Discretionary,,0.35,2.17,-1.80%,Underpriced,154.85,1,Significantly,1,154.85,,0,0,62.24668954248366,0,84.58538461538463
PRU,Prudential Financial,31765950000,87.03,89.7,3.07%,Insurance - Life,870.3,0.1,87.81,1.01,365000000.0,31385000000.0,Financials,-99.10%,0.5,1.39,0.20%,Underpriced,3.07,1,Slightly,0,3.07,13.909319828165279,0,1,62.24668954248366,1,70.66466666666666
PRVA,Privia Health Group,2914682400,25.2,39.67,57.42%,Health Information Services,193.85,0.13,,5.68,115662000.0,513276000.0,Healthcare,,2.04,0.77,3.40%,Underpriced,57.42,1,Significantly,1,57.42,3.6028241503260956,0,1,62.24668954248366,1,95.41799999999999
PSA,Public Storage,50475625200,287.1,335.17,16.74%,REIT - Industrial,12.21,23.51,2.74,5.02,175812000.0,10045711000.0,Real Estate,128.47%,11.73,0.44,41.40%,Underpriced,16.74,1,Slightly,0,16.74,173.85358732526956,0,0,62.24668954248366,0,29.17142857142857
PSEC,Prospect Capital,2505512820,6.23,5.88,-5.62%,Asset Management,,-0.54,,0.66,402168992.0,3799294000.0,Financials,,3.07,1.01,-5.40%,Overpriced,-5.62,0,Slightly,0,5.62,,0,0,62.24668954248366,0,42.887671232876706
PSFE,Paysafe,658007580,10.74,29.84,177.84%,Information Technology Services,,-11.54,,0.76,61267000.0,870911000.0,Technology,,0.43,1.87,-85.10%,Underpriced,177.84,1,Significantly,1,177.84,,0,0,62.24668954248366,0,32.660810810810815
PSHG,Performance Shipping,8570448,0.72,N/A,,Marine Shipping,0.24,3.02,,0.06,11903400.0,155705000.0,Industrials,,0.11,0.1,10.30%,N/A,,0,,0,,29.813330603734716,1,0,62.24668954248366,0,4.0184848484848485
PSMT,PriceSmart,2324772489,74.99,82.0,9.35%,Discount Stores,21.8,3.44,1.94,2.23,31001100.0,1043912000.0,Consumer Staples,2.08%,0.55,0.89,10.60%,Underpriced,9.35,1,Slightly,0,9.35,51.05213080382432,0,0,62.24668954248366,0,25.6675
PSN,Parsons,5011116030,47.79,49.86,4.33%,Specialty Industrial Machinery,51.95,0.92,,2.43,104857000.0,2063879000.0,Industrials,33.33%,1.13,0.83,5.10%,Underpriced,4.33,1,Slightly,0,4.33,20.184991677252384,0,0,62.24668954248366,0,42.107894736842105
PSNL,Personalis,97778142,2.09,7.0,234.93%,Diagnostics & Research,,-2.46,,0.5,46783800.0,193632000.0,Healthcare,,1.42,1.42,-49.50%,Underpriced,234.93,1,Significantly,1,234.93,,0,0,62.24668954248366,0,60.269999999999996
PSNY,Polestar Automotive Holding UK,8503058071,4.03,8.75,117.12%,Auto Manufacturers,,-0.11,,60.31,2109939968.0,140990000.0,Consumer Discretionary,,,,,Underpriced,117.12,1,Significantly,1,117.12,,0,0,62.24668954248366,0,26.01142857142857
PSO,Pearson,7555435334,10.55,N/A,,Publishing,25.73,0.39,0.68,1.42,716155008.0,5303614458.0,Communication Services,-25.40%,1.63,0.31,5.60%,N/A,,0,,0,,8.061317359388745,0,0,62.24668954248366,0,28.225
PSTG,Pure Storage,11595275038,37.74,37.85,0.29%,Computer Hardware,943.5,0.04,5.57,12.8,307240992.0,905807000.0,Technology,,4.26,1.21,2.00%,Underpriced,0.29,1,Slightly,0,0.29,1.6289190849356678,0,1,62.24668954248366,1,99.56384615384617
PSTL,Postal Realty Trust,367817000,14.8,18.0,21.62%,REIT - Office,113.85,0.13,,1.65,24852500.0,222438000.0,Real Estate,,6.5,0.64,1.60%,Underpriced,21.62,1,Significantly,1,21.62,5.116610818400707,0,1,62.24668954248366,1,33.86
PSTV,Plus Therapeutics,7180790,2.88,46.5,1514.58%,Biotechnology,,-10.94,,2.68,2493330.0,2676000.0,Healthcare,,9.84,0.39,-277.60%,Underpriced,1514.58,1,Significantly,1,1514.58,,0,0,62.24668954248366,0,22.024186046511627
PSTX,Poseida Therapeutics,203922434,2.35,16.25,591.49%,Biotechnology,,-0.65,,1.29,86775504.0,157565000.0,Healthcare,,1.46,0.24,-28.60%,Underpriced,591.49,1,Significantly,1,591.49,,0,0,62.24668954248366,0,22.024186046511627
PSX,Phillips 66,44569267614,97.13,119.09,22.61%,Oil & Gas Refining & Marketing,3.76,25.85,0.73,1.47,458862016.0,30249000000.0,Energy,349.57%,0.26,1.38,44.20%,Underpriced,22.61,1,Significantly,1,22.61,195.81050582354374,1,0,62.24668954248366,0,7.945
PT,Pintec Technology Holdings,17223840,1.08,N/A,,Credit Services,,-3.16,,,15948000.0,-79907461.0,Financials,,1.61,0.3,,N/A,,0,,0,,18.87449552193846,1,0,62.24668954248366,0,24.72840909090909
PTC,PTC Inc.,16942231950,143.15,155.31,8.49%,Software - Application,53.82,2.66,2.12,6.73,118353000.0,2518534000.0,Technology,-34.32%,8.56,1.19,13.50%,Underpriced,8.49,1,Slightly,0,8.49,35.68751852510388,0,0,62.24668954248366,0,164.93469696969697
PTCT,PTC Therapeutics,3192425993,43.03,53.53,24.40%,Biotechnology,,-7.9,,,74190704.0,-457561000.0,Healthcare,,4.14,0.42,,Underpriced,24.4,1,Significantly,1,24.4,33.10964763565237,0,0,62.24668954248366,0,22.024186046511627
PTEN,Patterson-UTI Energy,2438572464,11.71,16.69,42.53%,Oil & Gas Drilling,9.08,1.29,-1.74,1.46,208247008.0,1672957000.0,Energy,,0.83,2.3,17.30%,Underpriced,42.53,1,Significantly,1,42.53,15.270002854356033,1,0,62.24668954248366,0,8.928
PTGX,Protagonist Therapeutics,1586433523,27.71,33.0,19.09%,Biotechnology,,-2.85,,7.34,57251300.0,216167000.0,Healthcare,,1846.84,1.96,-59.40%,Underpriced,19.09,1,Slightly,0,19.09,,0,0,62.24668954248366,0,22.024186046511627
PTHR,Pono Capital Three,115049426,10.44,N/A,,Shell Companies,,0.0,,,11020060.0,-2713042.0,Financials,,,,,N/A,,0,,0,,-0.0,0,0,62.24668954248366,0,132.68085501858738
PTIX,Protagenic Therapeutics,8618610,1.99,N/A,,Biotechnology,,-0.67,,1.34,4330960.0,6414313.0,Healthcare,,,0.2,-40.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
PTLO,Portillo's,1141822836,20.76,24.67,18.83%,Restaurants,86.5,0.24,,3.93,55001100.0,290203000.0,Consumer Discretionary,,1.88,,6.90%,Underpriced,18.83,1,Slightly,0,18.83,5.3377980797376905,0,1,62.24668954248366,1,29.79771428571429
PTMN,Portman Ridge Finance,190516357,19.98,23.75,18.90%,Asset Management,,-2.6,,0.85,9537740.0,225106000.0,Financials,,2.61,0.8,-10.30%,Underpriced,18.87,1,Slightly,0,18.87,,0,0,62.24668954248366,0,42.887671232876706
PTN,Palatin Technologies,25236465,2.19,60.0,2639.73%,Biotechnology,,-2.91,,2.63,11523500.0,9592502.0,Healthcare,,6.53,1.01,-233.70%,Underpriced,2639.73,1,Significantly,1,2639.73,,0,0,62.24668954248366,0,22.024186046511627
PTON,Peloton Interactive,3061480069,8.64,13.92,61.11%,Leisure,,-6.78,,,354337971.0,-127000000.0,Consumer Discretionary,,1.08,1.92,-1205.50%,Underpriced,61.11,1,Significantly,1,61.11,7.3943349505190765,0,0,62.24668954248366,0,26.9275
PTPI,Petros Pharmaceuticals,5305061,2.51,N/A,,Drug Manufacturers - Specialty & Generic,,-10.34,,0.34,2113570.0,15447656.0,Healthcare,,0.88,1.84,-97.60%,N/A,,0,,0,,,0,0,62.24668954248366,0,42.62173913043478
PTRA,Proterra,295721400,1.3,6.0,361.54%,Auto Manufacturers,,-2.2,,1.09,227478000.0,270716000.0,Consumer Discretionary,,0.9,0.9,-85.40%,Underpriced,361.54,1,Significantly,1,361.54,,0,0,62.24668954248366,0,26.01142857142857
PTRS,Partners Bancorp,116546688,6.48,N/A,,Banks - Regional,7.71,0.84,,0.83,17985600.0,141222000.0,Financials,75.00%,1.85,0.62,10.90%,N/A,,0,,0,,12.182028626512324,1,0,62.24668954248366,0,11.796324786324787
PTSI,P.A.M. Transportation Services,593797435,26.95,N/A,,Trucking,8.42,3.2,1.66,1.97,22033300.0,302106000.0,Industrials,-17.74%,0.63,1.3,25.10%,N/A,,0,,0,,31.419997756621665,1,0,62.24668954248366,0,15.1
PTVE,Pactiv Evergreen,1333511900,7.48,12.0,60.43%,Packaging & Containers,9.84,0.76,,0.95,178276992.0,1406000000.0,Consumer Discretionary,68.89%,0.22,1.34,9.90%,Underpriced,60.43,1,Significantly,1,60.43,11.612963649924668,1,0,62.24668954248366,0,13.818095238095239
PTWO,Pono Capital Two,56378397,10.27,N/A,,Shell Companies,101.98,0.1,,,5489620.0,-3733159.0,Financials,,,,,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
PUBM,PubMatic,990969446,19.08,20.75,8.75%,Software - Application,61.55,0.31,2.14,3.23,51937602.0,306356000.0,Technology,-69.00%,3.85,0.86,6.00%,Underpriced,8.75,1,Slightly,0,8.75,6.414227422260762,0,0,62.24668954248366,0,164.93469696969697
PUCK,Goal Acquisitions,173712432,10.32,N/A,,Shell Companies,,-0.03,,,16832600.0,-7872033.0,Financials,,,0.01,,N/A,,0,,0,,0.5618491624658211,0,0,62.24668954248366,0,132.68085501858738
PUK,Prudential,39770264287,28.89,N/A,,Insurance - Life,40.13,0.94,0.57,1.83,1376610048.0,21741861544.0,Financials,-55.27%,,1.37,5.90%,N/A,,0,,0,,18.2767125368115,0,0,62.24668954248366,0,70.66466666666666
PULM,Pulmatrix,10226384,2.8,10.0,257.14%,Biotechnology,,-5.17,,0.38,3652280.0,27010000.0,Healthcare,,1.6,0.75,-55.70%,Underpriced,257.14,1,Significantly,1,257.14,,0,0,62.24668954248366,0,22.024186046511627
PUMP,ProPetro Holding,906867970,7.87,12.0,52.48%,Oil & Gas Equipment & Services,49.19,0.16,,0.92,115231000.0,982923000.0,Energy,,0.64,2.36,2.10%,Underpriced,52.48,1,Significantly,1,52.48,5.541487191259576,0,0,62.24668954248366,0,26.985882352941175
PUYI,Puyi Inc.,283479090,4.7,N/A,,Asset Management,,-0.13,,8.63,60314700.0,32847633.0,Financials,,12.69,0.28,-20.70%,N/A,,0,,0,,,0,0,62.24668954248366,0,42.887671232876706
PVBC,Provident Bancorp,144356928,8.16,12.0,47.06%,Banks - Regional,,-1.52,,0.68,17690800.0,211452000.0,Financials,,6.69,0.68,-11.50%,Underpriced,47.06,1,Significantly,1,47.06,,0,0,62.24668954248366,0,11.796324786324787
PVH,PVH Corp.,5289543346,84.34,90.56,7.38%,Apparel Manufacturing,27.29,3.09,0.68,1.03,62716900.0,5126400000.0,Consumer Discretionary,-77.64%,0.58,2.11,4.00%,Underpriced,7.37,1,Slightly,0,7.37,75.3849154290841,0,0,62.24668954248366,0,28.977333333333334
PVL,Permianville Royalty Trust,80850000,2.45,N/A,,Oil & Gas E&P,3.18,0.77,,1.36,33000000.0,59441480.0,Energy,163.87%,4.87,1.29,7.39%,N/A,,0,,0,,5.586302623381587,1,0,62.24668954248366,0,10.079873417721519
PW,Power REIT,6101388,1.8,N/A,,REIT - Specialty,,-4.79,,0.17,3389660.0,35321840.0,Real Estate,,0.81,1.0,-37.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,41.85875
PWFL,PowerFleet,118369296,3.28,6.5,98.17%,Communication Equipment,,-0.12,0.76,1.34,36088200.0,88478000.0,Technology,,0.88,1.47,-5.00%,Underpriced,98.17,1,Significantly,1,98.17,,0,0,62.24668954248366,0,26.672758620689656
PWOD,Penns Woods Bancorp,189639939,26.85,N/A,,Banks - Regional,10.25,2.62,,1.09,7062940.0,173970000.0,Financials,15.42%,2.88,0.44,11.10%,N/A,,0,,0,,38.10538272638495,1,0,62.24668954248366,0,11.796324786324787
PWP,Perella Weinberg Partners,738049892,8.5,9.0,5.88%,Capital Markets,,-0.83,,5.54,86829399.0,133312000.0,Financials,,1.21,1.54,2.80%,Underpriced,5.88,1,Slightly,0,5.88,,0,0,62.24668954248366,0,21.3659375
PWR,Quanta Services,26995477200,185.95,175.45,-5.65%,Engineering & Construction,54.85,3.39,1.39,4.9,145176000.0,5513416000.0,Industrials,3.04%,1.54,1.07,9.50%,Overpriced,-5.65,0,Slightly,0,5.65,53.821286697755106,0,0,62.24668954248366,0,30.660833333333333
